,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,URL,Years of Service,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Teams,AllStars,MVPs
0,Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,"April 16, 1947","University of California, Los Angeles",/players/a/abdulka01.html,19,1560.0,625.0,36.8,10.2,18.1,0.559,0.0,0.0,0.056,10.2,18.1,0.56,0.559,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6,2,19.0,6.0
1,Ray Allen,1997,2014,G,6-5,205.0,"July 20, 1975",University of Connecticut,/players/a/allenra02.html,17,1300.0,1149.0,35.6,6.6,14.6,0.452,2.3,5.7,0.4,4.3,8.9,0.485,0.53,3.4,3.8,0.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,4,10.0,0.0
2,Tiny Archibald,1971,1984,G,6-1,150.0,"September 2, 1948",University of Texas at El Paso,/players/a/architi01.html,13,876.0,268.0,35.6,6.7,14.4,0.467,0.1,0.3,0.224,6.7,14.3,0.469,0.468,5.3,6.6,0.81,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8,6,6.0,0.0
3,Paul Arizin,1951,1962,F-G,6-4,190.0,"April 9, 1928",Villanova University,/players/a/arizipa01.html,11,713.0,0.0,38.4,7.9,18.7,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.7,0.81,0.0,0.0,8.6,2.3,0.0,0.0,0.0,3.9,22.8,1,10.0,0.0
4,Charles Barkley,1985,2000,F,6-6,252.0,"February 20, 1963",Auburn University,/players/b/barklch01.html,15,1073.0,1012.0,36.7,7.9,14.5,0.541,0.5,1.9,0.266,7.4,12.7,0.581,0.558,5.9,8.1,0.735,4.0,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,3,11.0,1.0
5,Don Barksdale,1952,1955,F-C,6-6,200.0,"March 31, 1923","University of California, Los Angeles",/players/b/barksdo01.html,3,262.0,0.0,28.5,3.9,10.5,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.0,0.66,0.0,0.0,8.0,2.1,0.0,0.0,0.0,3.6,11.0,2,1.0,0.0
6,Rick Barry,1966,1980,F,6-7,205.0,"March 28, 1944",University of Miami,/players/b/barryri01.html,14,1020.0,0.0,37.4,9.5,20.9,0.456,0.6,2.0,0.297,9.3,20.3,0.46,0.46,5.6,6.3,0.893,1.3,4.6,6.7,4.9,2.0,0.5,3.0,3.0,24.8,6,12.0,0.0
7,Elgin Baylor,1959,1972,F,6-5,225.0,"September 16, 1934","Albertson College of Idaho, Seattle University",/players/b/bayloel01.html,13,846.0,0.0,40.0,10.3,23.8,0.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,8.7,0.78,0.0,0.0,13.5,4.3,0.0,0.0,0.0,3.1,27.4,2,11.0,0.0
8,Zelmo Beaty,1963,1975,C,6-9,225.0,"October 25, 1939",Prairie View A&M University,/players/b/beatyze01.html,12,889.0,0.0,33.4,6.4,13.0,0.494,0.0,0.0,0.154,6.4,13.0,0.495,0.494,4.2,5.5,0.771,3.3,7.1,10.9,1.5,0.7,0.8,2.3,3.6,17.1,4,5.0,0.0
9,Walt Bellamy,1962,1975,C,6-11,225.0,"July 24, 1939",Indiana University,/players/b/bellawa01.html,13,1043.0,0.0,37.3,7.6,14.7,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,7.8,0.632,3.4,6.2,13.7,2.4,0.7,0.6,0.0,3.4,20.1,7,4.0,0.0
10,Dave Bing,1967,1978,G,6-3,180.0,"November 24, 1943",Syracuse University,/players/b/bingda01.html,11,901.0,0.0,36.4,7.7,17.5,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,6.3,0.775,1.1,1.9,3.8,6.0,1.3,0.2,2.7,2.9,20.3,3,7.0,0.0
11,Larry Bird,1980,1992,F,6-9,220.0,"December 7, 1956",Indiana State University,/players/b/birdla01.html,12,897.0,870.0,38.4,9.6,19.3,0.496,0.7,1.9,0.376,8.9,17.4,0.509,0.514,4.4,5.0,0.886,2.0,8.0,10.0,6.3,1.7,0.8,3.1,2.5,24.3,1,12.0,3.0
12,Bill Bradley,1968,1977,F-G,6-5,205.0,"July 28, 1943",Princeton University,/players/b/bradlbi01.html,9,742.0,0.0,30.7,5.3,11.8,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.2,0.84,0.6,2.1,3.2,3.4,0.7,0.2,0.0,3.2,12.4,1,1.0,0.0
13,Larry Brown,1968,1972,G,5-9,160.0,"September 14, 1940",University of North Carolina,/players/b/brownla01.html,4,376.0,0.0,30.1,3.7,8.9,0.412,0.1,0.6,0.23,3.6,8.4,0.424,0.419,3.8,4.6,0.813,0.6,1.9,2.7,6.7,0.0,0.0,3.8,2.8,11.2,5,3.0,0.0
14,Roger Brown,1968,1975,F-G,6-5,205.0,"May 22, 1942",University of Dayton,/players/b/brownro01.html,7,605.0,0.0,35.5,6.4,13.6,0.469,0.5,1.6,0.321,5.9,12.0,0.489,0.488,4.1,5.2,0.791,1.9,4.0,6.2,3.8,0.7,0.6,2.5,3.2,17.4,3,4.0,0.0
16,Al Cervi,1950,1953,G-F,5-11,170.0,"February 12, 1917",0,/players/c/cervial01.html,3,202.0,0.0,12.4,2.0,5.6,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.6,0.839,0.0,0.0,1.8,3.2,0.0,0.0,0.0,3.3,7.9,1,0.0,0.0
17,Wilt Chamberlain,1960,1973,C,7-1,275.0,"August 21, 1936",University of Kansas,/players/c/chambwi01.html,13,1045.0,0.0,45.8,12.1,22.5,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,11.4,0.511,0.0,0.0,22.9,4.4,0.0,0.0,0.0,2.0,30.1,4,13.0,4.0
18,Maurice Cheeks,1979,1993,G,6-1,180.0,"September 8, 1956",West Texas A&M University,/players/c/cheekma01.html,14,1101.0,736.0,31.6,4.5,8.5,0.523,0.1,0.2,0.255,4.4,8.3,0.529,0.526,2.1,2.7,0.793,0.6,2.2,2.8,6.7,2.1,0.3,2.1,2.1,11.1,5,4.0,0.0
19,Nat Clifton,1951,1958,C-F,6-6,220.0,"October 13, 1922",Xavier University of Louisiana,/players/c/cliftna01.html,7,544.0,0.0,30.0,3.8,10.6,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.7,0.633,0.0,0.0,8.2,2.5,0.0,0.0,0.0,3.4,10.0,2,1.0,0.0
20,Bob Cousy,1951,1970,G,6-1,175.0,"August 9, 1928",College of the Holy Cross,/players/c/cousybo01.html,19,924.0,0.0,35.3,6.7,17.8,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.2,0.803,0.0,0.0,5.2,7.5,0.0,0.0,0.0,2.4,18.4,2,13.0,1.0
21,Dave Cowens,1971,1983,C-F,6-9,230.0,"October 25, 1948",Florida State University,/players/c/cowenda01.html,12,766.0,89.0,38.6,7.5,16.3,0.46,0.0,0.1,0.071,7.5,16.3,0.46,0.46,2.6,3.4,0.783,3.0,9.8,13.6,3.8,1.1,0.9,2.2,3.8,17.6,2,8.0,1.0
22,Billy Cunningham,1966,1976,F-C,6-6,210.0,"June 3, 1943",University of North Carolina,/players/c/cunnibi01.html,10,770.0,0.0,34.9,8.0,17.6,0.452,0.1,0.5,0.263,8.0,17.6,0.453,0.452,5.2,7.1,0.73,2.2,8.0,10.4,4.3,1.8,0.5,4.4,3.7,21.2,2,5.0,1.0
23,Louie Dampier,1968,1979,G,6-0,170.0,"November 20, 1944",University of Kentucky,/players/d/dampilo01.html,11,960.0,0.0,33.5,6.2,14.0,0.444,1.1,3.0,0.358,5.4,11.7,0.461,0.474,2.6,3.2,0.82,0.6,1.9,2.6,4.9,0.8,0.3,2.3,1.9,15.9,2,7.0,0.0
24,Mel Daniels,1968,1977,C,6-9,220.0,"July 20, 1944",University of New Mexico,/players/d/danieme01.html,9,639.0,0.0,35.2,7.3,15.6,0.468,0.0,0.1,0.088,7.3,15.6,0.469,0.468,3.8,5.8,0.657,4.5,10.4,14.9,1.8,0.6,1.5,3.0,3.6,18.4,4,7.0,2.0
25,Adrian Dantley,1977,1991,F-G,6-5,208.0,"February 28, 1956",University of Notre Dame,/players/d/dantlad01.html,14,955.0,546.0,35.8,8.6,15.8,0.54,0.0,0.1,0.171,8.5,15.8,0.541,0.54,7.2,8.7,0.818,2.3,3.4,5.7,3.0,1.0,0.2,2.9,2.7,24.3,7,6.0,0.0
26,Bob Davies,1949,1955,G-F,6-1,175.0,"January 15, 1920",Seton Hall University,/players/d/daviebo01.html,6,462.0,0.0,31.3,5.0,13.1,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,5.7,0.759,0.0,0.0,2.9,4.9,0.0,0.0,0.0,3.4,14.3,1,4.0,0.0
27,Dave DeBusschere,1963,1974,F-G,6-6,220.0,"October 16, 1940",University of Detroit Mercy,/players/d/debusda01.html,11,875.0,0.0,35.7,6.5,15.1,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.3,0.699,1.9,8.8,11.0,2.9,0.9,0.5,0.0,3.2,16.1,2,8.0,0.0
28,Clyde Drexler,1984,1998,G,6-7,210.0,"June 22, 1962",University of Houston,/players/d/drexlcl01.html,14,1086.0,950.0,34.6,7.7,16.3,0.472,0.8,2.4,0.318,6.9,13.9,0.498,0.495,4.3,5.5,0.788,2.4,3.7,6.1,5.6,2.0,0.7,2.7,3.0,20.4,2,10.0,0.0
29,Joe Dumars,1986,1999,G,6-3,190.0,"May 24, 1963",McNeese State University,/players/d/dumarjo01.html,13,1018.0,944.0,34.5,5.9,12.8,0.46,1.0,2.5,0.382,4.9,10.2,0.48,0.498,3.4,4.0,0.843,0.7,1.5,2.2,4.5,0.9,0.1,2.0,1.8,16.1,1,6.0,0.0
30,Wayne Embry,1959,1969,C-F,6-8,240.0,"March 26, 1937",Miami University,/players/e/embrywa01.html,10,831.0,0.0,26.2,4.8,10.9,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,4.5,0.64,0.0,0.0,9.1,1.4,0.0,0.0,0.0,3.4,12.5,3,5.0,0.0
31,Alex English,1977,1991,F,6-7,190.0,"January 5, 1954",University of South Carolina,/players/e/englial01.html,14,1193.0,753.0,31.9,8.9,17.6,0.507,0.0,0.1,0.217,8.9,17.6,0.508,0.507,3.6,4.3,0.832,2.3,3.2,5.5,3.6,0.9,0.7,2.5,2.5,21.5,4,8.0,0.0
32,Julius Erving,1972,1987,F-G,6-7,210.0,"February 22, 1950",University of Massachusetts Amherst,/players/e/ervinju01.html,15,1243.0,442.0,36.4,9.5,18.8,0.506,0.1,0.4,0.298,9.4,18.4,0.51,0.509,5.0,6.5,0.777,3.0,5.5,8.5,4.2,2.0,1.7,3.4,2.8,24.2,3,16.0,3.0
34,Patrick Ewing,1986,2002,C-F,7-0,240.0,"August 5, 1962",Georgetown University,/players/e/ewingpa01.html,16,1183.0,1122.0,34.3,8.2,16.3,0.504,0.0,0.1,0.152,8.2,16.2,0.507,0.505,4.6,6.2,0.74,2.3,7.5,9.8,1.9,1.0,2.4,3.0,3.4,21.0,3,11.0,0.0
35,Walt Frazier,1968,1980,G,6-4,200.0,"March 29, 1945",Southern Illinois University,/players/f/fraziwa01.html,12,825.0,0.0,37.5,7.4,15.2,0.49,0.0,0.3,0.0,7.4,15.2,0.49,0.49,4.0,5.1,0.786,1.1,4.2,5.9,6.1,1.9,0.2,2.1,2.6,18.9,2,7.0,0.0
36,Joe Fulks,1947,1954,F-C,6-5,190.0,"October 26, 1921",Murray State University,/players/f/fulksjo01.html,7,489.0,0.0,23.4,5.8,19.1,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,6.3,0.766,0.0,0.0,5.3,1.2,0.0,0.0,0.0,3.6,16.4,1,2.0,0.0
37,Harry Gallatin,1949,1958,F-C,6-6,210.0,"April 26, 1927",Truman State University,/players/g/gallaha01.html,9,682.0,0.0,31.9,4.1,10.3,0.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,6.1,0.773,0.0,0.0,11.9,1.8,0.0,0.0,0.0,3.1,13.0,2,7.0,0.0
38,George Gervin,1973,1986,G-F,6-7,180.0,"April 27, 1952",Eastern Michigan University,/players/g/gervige01.html,13,1060.0,377.0,33.6,9.8,19.4,0.504,0.1,0.6,0.271,9.7,19.0,0.509,0.507,5.4,6.4,0.841,1.7,3.6,5.3,2.6,1.2,1.0,3.0,3.1,25.1,3,12.0,0.0
39,Artis Gilmore,1972,1988,C,7-2,240.0,"September 21, 1949","Gardner-Webb University, Jacksonville University",/players/g/gilmoar01.html,16,1329.0,476.0,35.5,7.1,12.2,0.582,0.0,0.0,0.15,7.1,12.1,0.582,0.582,4.6,6.6,0.698,3.6,8.7,12.3,2.3,0.6,2.4,3.1,3.4,18.8,4,11.0,1.0
40,Tom Gola,1956,1966,G-F,6-6,205.0,"January 13, 1933",La Salle University,/players/g/golato01.html,10,698.0,0.0,32.3,4.2,9.9,0.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.7,0.76,0.0,0.0,8.0,4.2,0.0,0.0,0.0,3.9,11.3,3,5.0,0.0
41,Gail Goodrich,1966,1979,G,6-1,170.0,"April 23, 1943","University of California, Los Angeles",/players/g/goodrga01.html,13,1031.0,0.0,32.5,7.2,15.8,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.2,0.807,1.1,1.6,3.2,4.7,1.3,0.2,2.5,2.7,18.6,3,5.0,0.0
42,Hal Greer,1959,1973,G-F,6-2,175.0,"June 26, 1936",Marshall University,/players/g/greerha01.html,14,1122.0,0.0,35.5,7.6,16.8,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.1,0.801,0.0,0.0,5.0,4.0,0.0,0.0,0.0,3.4,19.2,2,10.0,0.0
43,Richie Guerin,1957,1970,G,6-4,195.0,"May 29, 1932",Iona College,/players/g/gueriri01.html,13,848.0,0.0,32.4,6.1,14.7,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,6.5,0.78,0.0,0.0,5.0,5.0,0.0,0.0,0.0,3.3,17.3,3,6.0,0.0
44,Cliff Hagan,1957,1970,F-G,6-4,210.0,"December 9, 1931",University of Kentucky,/players/h/hagancl01.html,13,839.0,0.0,28.7,6.9,15.1,0.454,0.0,0.1,0.0,6.9,15.1,0.454,0.454,4.0,5.0,0.799,1.2,1.5,6.6,3.2,0.0,0.0,3.1,3.2,17.7,2,6.0,0.0
45,Alex Hannum,1950,1957,F-C,6-7,210.0,"July 19, 1923",University of Southern California,/players/h/hannual01.html,7,516.0,0.0,19.8,2.3,6.5,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.2,0.629,0.0,0.0,4.5,1.7,0.0,0.0,0.0,3.8,6.0,6,0.0,0.0
46,John Havlicek,1963,1978,F-G,6-5,203.0,"April 8, 1940",Ohio State University,/players/h/havlijo01.html,15,1270.0,0.0,36.6,8.3,18.8,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.2,0.815,1.5,3.5,6.3,4.8,1.2,0.3,2.5,2.6,20.8,1,13.0,0.0
47,Connie Hawkins,1968,1976,F-C,6-8,210.0,"July 17, 1942",University of Iowa,/players/h/hawkico01.html,8,616.0,0.0,36.1,6.7,14.0,0.479,0.0,0.3,0.161,6.7,14.0,0.48,0.48,5.3,6.7,0.779,2.8,5.8,8.8,4.1,1.2,0.8,3.0,3.0,18.7,5,5.0,1.0
48,Elvin Hayes,1969,1984,F-C,6-9,235.0,"November 17, 1945",University of Houston,/players/h/hayesel01.html,15,1303.0,129.0,38.4,8.4,18.6,0.452,0.0,0.1,0.147,8.4,18.6,0.453,0.452,4.1,6.1,0.67,3.1,7.8,12.5,1.8,1.0,2.0,2.4,3.2,21.0,5,12.0,0.0
49,Spencer Haywood,1970,1983,F-C,6-8,225.0,"April 22, 1949",University of Detroit Mercy,/players/h/haywosp01.html,13,844.0,88.0,34.8,8.0,17.1,0.469,0.0,0.1,0.053,8.0,17.1,0.47,0.469,4.2,5.3,0.796,3.1,6.6,10.3,1.8,0.6,1.1,2.4,2.8,20.3,6,5.0,1.0
50,Tom Heinsohn,1957,1965,F-C,6-7,218.0,"August 26, 1934",College of the Holy Cross,/players/h/heinsto01.html,8,654.0,0.0,29.4,7.3,18.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.1,0.79,0.0,0.0,8.8,2.0,0.0,0.0,0.0,3.8,18.6,1,6.0,0.0
51,Grant Hill,1995,2013,F-G,6-8,225.0,"October 5, 1972",Duke University,/players/h/hillgr01.html,18,1026.0,972.0,33.9,6.2,12.8,0.483,0.2,0.7,0.314,6.0,12.1,0.493,0.492,4.1,5.4,0.769,1.1,4.9,6.0,4.1,1.2,0.6,2.4,2.3,16.7,4,7.0,0.0
52,Red Holzman,1949,1954,G,5-10,175.0,"August 10, 1920",City College of New York,/players/h/holzmre01.html,5,358.0,0.0,13.0,2.3,7.3,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.1,0.682,0.0,0.0,1.5,2.0,0.0,0.0,0.0,1.3,6.1,2,0.0,0.0
53,Bob Houbregs,1954,1958,C-F,6-7,210.0,"March 12, 1932",University of Washington,/players/h/houbrbo01.html,4,281.0,0.0,23.9,3.2,8.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.9,0.721,0.0,0.0,5.5,1.8,0.0,0.0,0.0,2.5,9.3,5,0.0,0.0
54,Bailey Howell,1960,1971,F,6-7,210.0,"January 20, 1937",Mississippi State University,/players/h/howelba01.html,11,950.0,0.0,32.2,6.9,14.3,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.6,0.762,0.0,0.0,9.9,2.0,0.0,0.0,0.0,3.7,18.7,4,6.0,0.0
55,Dan Issel,1971,1985,C-F,6-9,235.0,"October 25, 1948",University of Kentucky,/players/i/isselda01.html,14,1218.0,236.0,34.3,8.6,17.2,0.499,0.0,0.1,0.204,8.5,17.0,0.501,0.5,5.4,6.8,0.793,3.0,6.1,9.1,2.4,1.0,0.5,2.2,2.9,22.6,2,7.0,0.0
56,Allen Iverson,1997,2010,G,6-0,165.0,"June 7, 1975",Georgetown University,/players/i/iversal01.html,13,914.0,901.0,41.1,9.3,21.8,0.425,1.2,3.7,0.313,8.1,18.1,0.448,0.452,7.0,8.9,0.78,0.8,2.9,3.7,6.2,2.2,0.2,3.6,1.9,26.7,4,11.0,1.0
57,Phil Jackson,1968,1980,F-C,6-8,220.0,"September 17, 1945",University of North Dakota,/players/j/jacksph01.html,12,807.0,0.0,17.6,2.6,5.7,0.453,0.0,0.1,0.0,2.6,5.7,0.453,0.453,1.6,2.1,0.736,1.1,3.2,4.3,1.1,0.6,0.4,1.0,2.9,6.7,2,0.0,0.0
58,Buddy Jeannette,1948,1950,G,5-11,175.0,"September 15, 1917",Washington & Jefferson College,/players/j/jeannbu01.html,2,139.0,0.0,0.0,1.9,5.6,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,4.3,0.781,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2.8,7.2,1,0.0,0.0
59,Dennis Johnson,1977,1990,G,6-4,185.0,"September 18, 1954",Pepperdine University,/players/j/johnsde01.html,13,1100.0,673.0,32.7,5.3,11.9,0.445,0.1,0.5,0.172,5.2,11.5,0.455,0.448,3.4,4.3,0.797,1.3,2.5,3.9,5.0,1.3,0.6,2.4,2.8,14.1,3,5.0,0.0
60,Gus Johnson,1964,1973,F-C,6-6,230.0,"December 13, 1938",University of Idaho,/players/j/johnsgu01.html,9,631.0,0.0,33.1,6.7,15.3,0.44,0.1,0.4,0.19,6.7,15.3,0.44,0.44,2.7,3.9,0.7,1.7,3.2,12.1,2.5,0.0,0.0,1.4,3.4,16.2,3,5.0,0.0
61,Magic Johnson,1980,1996,G-F,6-9,215.0,"August 14, 1959",Michigan State University,/players/j/johnsma02.html,16,906.0,763.0,36.7,6.9,13.2,0.52,0.4,1.2,0.303,6.5,12.0,0.541,0.533,5.5,6.5,0.848,1.8,5.5,7.2,11.2,1.9,0.4,3.9,2.3,19.5,1,12.0,3.0
62,Neil Johnston,1952,1959,C,6-8,210.0,"February 4, 1929",Ohio State University,/players/j/johnsne01.html,7,516.0,0.0,35.5,6.4,14.4,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,8.6,0.768,0.0,0.0,11.3,2.5,0.0,0.0,0.0,3.3,19.4,1,6.0,0.0
63,K.C. Jones,1959,1967,G,6-1,200.0,"May 25, 1932",University of San Francisco,/players/j/joneskc01.html,8,676.0,0.0,25.9,2.8,7.3,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.7,0.647,0.0,0.0,3.5,4.3,0.0,0.0,0.0,2.7,7.4,1,0.0,0.0
64,Sam Jones,1958,1969,G-F,6-4,198.0,"June 24, 1933",North Carolina Central University,/players/j/jonessa01.html,11,871.0,0.0,27.9,7.2,15.8,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.1,0.803,0.0,0.0,4.9,2.5,0.0,0.0,0.0,2.0,17.7,1,5.0,0.0
65,Michael Jordan,1985,2003,G-F,6-6,195.0,"February 17, 1963",University of North Carolina,/players/j/jordami01.html,18,1072.0,1039.0,38.3,11.4,22.9,0.497,0.5,1.7,0.327,10.8,21.2,0.51,0.509,6.8,8.2,0.835,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1,2,14.0,5.0
66,Jason Kidd,1995,2013,G,6-4,205.0,"March 23, 1973",University of California,/players/k/kiddja01.html,18,1391.0,1350.0,36.0,4.5,11.2,0.4,1.4,4.1,0.349,3.0,7.1,0.429,0.464,2.2,2.8,0.785,1.3,5.0,6.3,8.7,1.9,0.3,2.9,1.8,12.6,4,10.0,0.0
67,Bernard King,1978,1993,F,6-7,205.0,"December 4, 1956",University of Tennessee,/players/k/kingbe01.html,15,874.0,547.0,33.7,9.0,17.3,0.518,0.0,0.2,0.172,8.9,17.1,0.521,0.519,4.5,6.2,0.73,1.9,3.8,5.8,3.3,1.0,0.3,3.2,3.3,22.5,5,4.0,0.0
68,Bob Lanier,1971,1984,C,6-11,250.0,"September 10, 1948",St. Bonaventure University,/players/l/laniebo01.html,13,959.0,179.0,33.5,8.1,15.7,0.514,0.0,0.0,0.154,8.1,15.7,0.515,0.514,3.9,5.1,0.767,2.6,6.8,10.1,3.1,1.1,1.5,2.6,3.2,20.1,2,8.0,0.0
69,Slick Leonard,1957,1963,G,6-3,185.0,"July 17, 1932",Indiana University,/players/l/leonasl01.html,6,426.0,0.0,27.3,3.7,10.6,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.3,0.745,0.0,0.0,2.9,3.3,0.0,0.0,0.0,2.1,9.9,4,0.0,0.0
70,Earl Lloyd,1951,1960,F-C,6-5,200.0,"April 3, 1928",West Virginia State University,/players/l/lloydea01.html,9,560.0,0.0,26.2,3.2,8.8,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.7,0.75,0.0,0.0,6.4,1.4,0.0,0.0,0.0,3.7,8.4,2,0.0,0.0
